rating,content,date,weekday,vector
3,"등심 두툼하고 맛있어요, 근데 냄새가 조금 나요😅

주차장 들어가며 받은 이미지는 연돈이 더본그룹 소속인가?

그리고 화장실 상태만 봤을 때 관리가 잘 되는 것 같진 않습니다",2025-07-08,1,"[-0.0006, -0.0032, -0.0010, -0.0075, 0.0005, -0.0056, 0.0017, -0.0019, 0.0022, -0.0015, 0.0004, -0.0031, -0.0017, 0.0018, -0.0007, 0.0017, 0.0031, -0.0001, -0.0013, -0.0015, -0.0005, -0.0003, 0.0040, -0.0014, -0.0005, 0.0032, 0.0016, 0.0007, -0.0001, 0.0004, 0.0016, 0.0018, -0.0015, -0.0011, -0.0028, -0.0022, -0.0009, 0.0029, -0.0029, -0.0026, 0.0028, 0.0047, -0.0000, 0.0028, 0.0035, -0.0034, -0.0017, -0.0021, 0.0015, -0.0012]"
3,"총평: 고속도로 휴게소에서 식사를 하는 느낌입니다.

약 18시 쯤에 방문 했고, 웨이팅은 주차하고 흡연장소에서 담배 한대 피고나니까 순서가 됐습니다. 약 5분~10분 정도 기다린 것 같네요.
호기심에 한번 정도는 맛볼만한것 같은데 지난날 텐트에서 노숙하면서 웨이팅하셨던 분들은 왜 그렇게 까지 했을까 의문이 들었습니다. 동네에있는 돈까스일기가 한티어 더 높은듯 합니다.

1. 음식 주문하고 거의 바로 나옴.
2. 튀김옷이 굉장히 바삭, 단단해서 한입 베어물때마다 각오를 해야함.
3. 치즈볼카츠의 치즈 맛 좋음.
4. 카레는 일본 골든커리에 다진고기 양파 잘게 넣은 맛.
5. 모든게 셀프.
6. 분위기 시끄럽고 산만함.
7.  깍두기 맛 없음.
8. 장국 짭짤허이 맛있음.",2025-06-22,6,"[0.0011, -0.0001, -0.0003, -0.0010, -0.0022, -0.0012, 0.0020, 0.0020, -0.0004, 0.0006, 0.0007, -0.0017, -0.0004, -0.0007, -0.0000, -0.0020, 0.0016, 0.0020, -0.0011, -0.0001, -0.0012, 0.0021, 0.0007, -0.0013, 0.0023, 0.0006, -0.0002, -0.0010, -0.0013, 0.0005, 0.0009, -0.0014, -0.0004, 0.0001, 0.0004, -0.0008, 0.0001, 0.0021, 0.0015, -0.0001, -0.0017, -0.0002, 0.0012, 0.0032, 0.0007, -0.0005, 0.0018, -0.0005, 0.0009, 0.0006]"
3,"치즈카츠는 품절이라 못먹었고 꽤 오랜시간 기다리고 먹었는데, 특별한건 못느꼈네요
옆에 빽다방 카페에서 먹은 초코소라빵이랑 소금빵이 더 기억에남아요",2025-07-15,1,"[0.0027, -0.0017, -0.0074, -0.0073, 0.0015, -0.0029, 0.0031, 0.0022, -0.0003, -0.0012, 0.0029, -0.0028, 0.0057, -0.0004, -0.0039, 0.0000, -0.0013, 0.0004, 0.0027, -0.0017, 0.0010, 0.0007, 0.0013, -0.0021, -0.0015, 0.0028, -0.0011, 0.0045, -0.0001, 0.0005, 0.0015, -0.0037, -0.0034, 0.0033, -0.0009, 0.0022, -0.0018, 0.0004, 0.0034, -0.0007, -0.0025, 0.0008, -0.0013, -0.0027, 0.0029, -0.0032, -0.0001, -0.0041, 0.0009, -0.0021]"
4,"맛있어요
그런데, 수도권만 해도 이정도 맛있는 돈까스집 흔한 정도입니다
장점은 관광지임에도 불구하고 저렴한 가격입니다
평균 13시30분이면 치즈카츠는 품절이라고 보면 됩니다
48번인데 마지막 치즈카츠 먹었어요

돈까스 매니아다 - 방문 추천
호텔더본 투숙한다 - 방문 추천
그 외는 굳이?? 비추입니다

웨이팅 시간과 식사 시간에 다시 여길 와야하는 번거로움을 관광하는 시간에 투자하세요!",2025-03-22,5,"[0.0010, 0.0003, 0.0009, 0.0020, -0.0027, 0.0006, -0.0001, -0.0002, -0.0013, 0.0000, 0.0011, 0.0008, -0.0022, 0.0008, -0.0000, 0.0013, -0.0015, -0.0019, -0.0022, -0.0023, 0.0004, 0.0025, 0.0004, -0.0022, 0.0015, -0.0023, -0.0023, 0.0021, -0.0009, 0.0014, 0.0023, -0.0004, -0.0046, 0.0006, -0.0006, 0.0018, -0.0016, -0.0026, -0.0009, -0.0013, -0.0020, 0.0025, -0.0001, 0.0050, 0.0028, 0.0001, 0.0009, -0.0028, 0.0041, -0.0016]"
5,"2024.12.24 방문
평일 아침 9시 50분쯤 오픈런했습니다
오픈런할 때 주차장도 완전 복잡하니 참고하세요
전용주차장은 이미 만차라 인근 갓길주차해야 합니다

웨이팅등록을 위한 대기줄도 또 있어서
30분만에 웨이팅등록했고 126번째 등록되었습니다
입장까지 282분 걸렸어요
늦은 오후에 가면 웨이팅등록도 마감되서 못 합니다

식당스타일은 휴게소 생각하시면 될 것 같아요
자리에서 테블릿으로 주문/결제하고
번호 알림뜨면 찾으러 가고 다먹으면 갖다 놓고
모든 것이 셀프입니다

등심돈까스 11,000원 / 안심돈까스 12,000원
치즈볼카츠 4,000원 / 카레 5,000원

언제 또 와볼까 싶어서 성인 2인이
이거 다 시켜서 남김없이 먹었습니다

결과적으로 맛있습니다
양이 푸짐해서 좋습니다
치즈볼카츠 치즈가 가득합니다
1개쯤 먹어봐도 될 것 같아요

근데 282분 기다릴 맛은 아닙니다
유명하니까 도장깨기하듯 와봤지만
서울에도 이 정도 맛을 내는 돈까스집은 많습니다

개인적으로 서울 역삼에 있는 '와비사비'가
더 맛있었습니다
인생돈까스 수준은 아니기 때문에
일정이 안되시는 분들은 굳이
무리한 시간을 뺏기지 않길 바랍니다",2025-03-22,5,"[-0.0002, 0.0006, 0.0002, -0.0006, -0.0009, -0.0031, 0.0009, 0.0015, -0.0026, -0.0011, 0.0010, 0.0000, -0.0007, 0.0001, 0.0003, -0.0000, 0.0020, -0.0003, -0.0006, 0.0002, 0.0011, -0.0001, 0.0021, -0.0005, 0.0005, 0.0004, -0.0001, -0.0008, -0.0012, 0.0016, 0.0016, 0.0008, 0.0014, -0.0002, -0.0005, 0.0014, -0.0007, -0.0001, 0.0008, -0.0002, 0.0003, 0.0005, 0.0001, -0.0003, 0.0008, -0.0006, 0.0001, -0.0012, -0.0004, 0.0020]"
3,엄청난 대기 끝에 입장했다. 고속도로 휴게소 시스템 처럼 셀프  픽업과 셀프 반납이었다. 맛은 나쁘지 않았지만 너무 느끼했고 먹는 내내 괴로웠다. 고속도로휴게소에서 허겁지겁 먹은 기분이었고 자리도 좁았다. 다시는 가지 않을 것이다. 심지어 남은 음식 포장도 안된단다. 건강상의 우려라는 말은 너무  성의없고 치졸해보였다.,2025-04-22,1,"[-0.0029, 0.0031, -0.0027, -0.0004, 0.0014, -0.0015, 0.0013, -0.0000, -0.0005, 0.0011, 0.0042, -0.0009, -0.0008, -0.0027, 0.0025, -0.0002, 0.0001, -0.0027, -0.0027, 0.0021, -0.0002, -0.0007, -0.0011, 0.0000, 0.0010, -0.0014, -0.0004, -0.0006, 0.0010, -0.0023, 0.0027, 0.0019, 0.0001, 0.0024, 0.0027, 0.0016, 0.0017, -0.0000, 0.0012, -0.0029, 0.0046, -0.0033, 0.0003, -0.0027, 0.0029, -0.0021, 0.0007, -0.0027, -0.0009, -0.0001]"
3,"나 연돈 먹어봄! 이라고 자랑할 수는 있겠는데 와 진짜 내 취향이다! 라고는 말 못하겠다. 이게 진짜 취향차일수는 있는데, 돈까스 튀김옷이 너무 딱딱한게 아닌가 싶었다. 그럼에도 좋은 경험.",2025-07-01,1,"[-0.0029, -0.0000, 0.0016, -0.0037, 0.0020, -0.0039, 0.0033, 0.0013, 0.0004, -0.0007, 0.0037, 0.0005, -0.0020, -0.0022, -0.0000, -0.0011, 0.0013, 0.0012, -0.0006, -0.0031, -0.0005, 0.0009, 0.0039, -0.0000, 0.0021, -0.0013, -0.0011, -0.0007, -0.0028, 0.0030, 0.0027, -0.0024, 0.0061, -0.0004, -0.0047, -0.0003, 0.0018, -0.0040, 0.0019, 0.0003, 0.0001, 0.0049, -0.0012, 0.0024, 0.0045, -0.0009, 0.0014, -0.0032, 0.0023, 0.0033]"
5,"인생 치즈카츠..💛
빵가루와 치즈가 진짜 대박..
다른 곳보다 왜 맛있는지 알겠다.
사장님 너무 멋지심👍🏻👍🏻
제주도 온 목적 달성!
연돈먹으러 제주도 또 오고싶다😊
볼카츠도 기대 별로 안했는데 넘 맛있음~",2025-06-22,6,"[0.0013, 0.0023, -0.0045, 0.0001, -0.0018, -0.0003, 0.0004, 0.0007, 0.0006, -0.0034, 0.0007, 0.0006, -0.0028, 0.0028, -0.0007, 0.0005, -0.0004, -0.0017, -0.0022, -0.0012, 0.0007, 0.0038, -0.0007, -0.0023, 0.0006, 0.0019, -0.0008, -0.0023, 0.0010, 0.0039, -0.0001, -0.0029, 0.0040, -0.0020, -0.0005, 0.0036, -0.0040, -0.0011, -0.0011, 0.0021, -0.0027, -0.0011, 0.0019, 0.0029, 0.0026, -0.0022, -0.0021, -0.0033, 0.0039, 0.0026]"
5,다녀온지 벌써 2주나 되었네요. 운이 좋게도 더 본 숙박했다가 스크래치 쿠폰에서 예약 당첨이 되어서 아침부터 줄 서지 않고 12시에 바로 입장했어요. 일찍 가야 먹을 수 있다는 치즈까스와 안심까스 2개 먹었습니다. 치즈까즈 소문대로 엄청난 치즈량과 여러겹 고기로 부드러우면서도 빠삭해서 맛있었어요. 안심도 고기가 부드러우면서 바삭해서 여전히 인기 많은 이유를 알 수 있었네요. 자리는 대부분 4인석이고 간혹 2인석 있었고 대략 35 테이블 정도 있었습니다. 10시부터 예약 접수라서 8시 정도부터 줄 서는 것도 봤는데 한정 수량인 치즈까스 드실려면 9시 전에는 줄 서야 될 것 같았어요. 테이블에서 주문하고 완료되면 배식구로 가서 직접 가야 와야 했습니다. 창가에 앉으니 예전 연돈 건물도 보였어요.,2025-02-22,5,"[-0.0008, -0.0004, -0.0017, 0.0002, 0.0007, 0.0008, 0.0007, 0.0016, -0.0022, 0.0014, -0.0010, -0.0021, 0.0003, -0.0016, -0.0004, 0.0003, 0.0011, -0.0007, 0.0008, -0.0002, -0.0017, 0.0011, 0.0006, -0.0011, 0.0010, 0.0000, -0.0024, 0.0007, -0.0041, -0.0010, 0.0023, -0.0018, -0.0008, 0.0012, 0.0009, 0.0010, 0.0013, 0.0022, 0.0007, -0.0003, 0.0011, 0.0008, 0.0013, 0.0003, 0.0011, 0.0002, -0.0006, -0.0012, 0.0000, 0.0001]"
4,웨이팅 없이 맛있게 먹었어요. 치즈카츠가 sold out이라서 아쉬웠지만 그래도 역시 연돈이네요. ^^,2025-05-22,3,"[0.0021, -0.0009, -0.0053, 0.0028, 0.0024, -0.0010, 0.0043, -0.0011, 0.0115, -0.0028, -0.0041, -0.0034, -0.0038, 0.0016, -0.0062, 0.0053, -0.0023, 0.0058, -0.0020, -0.0033, 0.0004, -0.0042, -0.0007, 0.0000, -0.0002, -0.0011, 0.0034, -0.0040, -0.0010, -0.0014, 0.0008, 0.0039, 0.0032, 0.0047, -0.0039, 0.0049, -0.0012, -0.0016, 0.0023, -0.0002, 0.0049, 0.0048, 0.0030, 0.0005, 0.0020, 0.0010, -0.0020, -0.0008, -0.0028, 0.0045]"
